chapter,bookdown_ref,ubc_ref,bookdown_ref_clean
Install R and RStudio,{#install},http://stat545.com/block000_r-rstudio-install.html,install
R basics and workflows,{#r-basics},http://stat545.com/block002_hello-r-workspace-wd-project.html,r-basics
Test drive R Markdown,{#r-markdown},https://stat545.com/block007_first-use-rmarkdown.html,r-markdown
"Git, GitHub, and RStudio",{#version-control},https://stat545.com/git08_claim-stat545-repo.html,version-control
Basic care and feeding of data in R,{#basic-data-care},https://stat545.com/block006_care-feeding-data.html,basic-data-care
Introduction to dplyr,{#dplyr-intro},https://stat545.com/block009_dplyr-intro.html,dplyr-intro
Single table dplyr functions,{#dplyr-single},https://stat545.com/block010_dplyr-end-single-table.html,dplyr-single
Writing and reading files,{#import-export},https://stat545.com/block002_hello-r-workspace-wd-project.html,import-export
Be the boss of your factors,{#factors-boss},https://stat545.com/block029_factors.html,factors-boss
Character vectors,{#character-vectors},https://stat545.com/block028_character-data.html,character-vectors
Character encoding,{#character-encoding},https://stat545.com/block032_character-encoding.html,character-encoding
Dates and times,{#date-time},https://github.com/STAT545-UBC/STAT545-UBC.github.io/blob/master/block030_date-times.Rmd,date-time
When one tibble is not enough,{#multiple-tibbles},https://stat545.com/block033_working-with-two-tables.html,multiple-tibbles
Join two tables,{#join-cheatsheet},https://stat545.com/bit001_dplyr-cheatsheet.html,join-cheatsheet
Table lookup,{#lookup},https://stat545.com/bit008_lookup.html,lookup
R objects and indexing,{#r-objects},http://stat545.com/block004_basic-r-objects.html,r-objects
"Write your own R functions, part 1",{#functions-part1},https://stat545.com/block011_write-your-own-function-01.html,functions-part1
"Write your own R functions, part 2",{#functions-part2},https://stat545.com/block011_write-your-own-function-02.html,functions-part2
"Write your own R functions, part 3",{#functions-part3},https://stat545.com/block011_write-your-own-function-03.html,functions-part3
Function-writing practicum,{#functions-practicum},https://stat545.com/block012_function-regress-lifeexp-on-year.html,functions-practicum
R graphics landscape,{#graphics-slides},https://stat545.com/graph00_index.html,graphics-slides
ggplot2 tutorial,{#ggplot2-tutorial},https://stat545.com/graph00_index.html,ggplot2-tutorial
Do's and don'ts of making effective graphics,{#effective-graphs},https://stat545.com/block015_graph-dos-donts.html,effective-graphs
Using colors in R,{#colors},http://stat545.com/block018_colors.html,colors
Taking control of qualitative colors in ggplot2,{#qualitative-colors},https://stat545.com/block019_enforce-color-scheme.html,qualitative-colors
Secrets of a happy graphing life,{#secrets},https://stat545.com/block016_secrets-happy-graphing.html,secrets
Writing figures to file,{#save-figs},https://stat545.com/block017_write-figure-to-file.html,save-figs
Multiple plots on a page,{#multiple-plots},http://stat545.com/block020_multiple-plots-on-a-page.html,multiple-plots
Overview,{-#package-overview},https://stat545.com/packages00_index.html,package-overview
System preparation for package development,{#system-prep},https://stat545.com/packages01_system-prep.html,system-prep
Write your own R package,{#package-from-scratch},http://stat545.com/packages06_foofactors-package.html,package-from-scratch
Overview,{-#automation-overview},https://stat545.com/automation00_index.html,automation-overview
Why and how we automate data analyses + examples,{#automation-slides},http://stat545.com/automation01_slides/index.html,automation-slides
make: special considerations for Windows,{#make-windows},http://stat545.com/automation02_windows.html,make-windows
Automation: test drive make,{#make-test-drive},http://stat545.com/automation03_make-test-drive.html,make-test-drive
Automating data-analysis pipelines,{#automating-pipeline},http://stat545.com/automation04_make-activity.html,automating-pipeline
Slides,{#web-data-slides},https://stat545.com/webdata02_activity.html,web-data-slides
Use API-wrapping packages,{#api-wrappers},http://stat545.com/webdata02_activity.html,api-wrappers
DIY web data,{#diy-web-data},https://stat545.com/webdata03_activity.html,diy-web-data
Slides,{#shiny-slides},http://stat545.com/shiny00_index.html,shiny-slides
Building Shiny apps,{#shiny-tutorial},http://stat545.com/shiny01_activity.html,shiny-tutorial
"Draw the rest of the owl, a pep talk for building off simple examples",{#draw-the-owl},http://stat545.com/bit007_draw-the-rest-of-the-owl.html,draw-the-owl
Make browsing your GitHub repos more rewarding,{#github-browsability},http://stat545.com/bit006_github-browsability-wins.html,github-browsability
